DataR,DataI,y
-4.8778808,-20.567963199999998,-1
-4.3682663999999995,-23.556079999999998,-1
-5.3088448,-18.0095936,-1
-10.0330456,-20.9822752,-1
-9.9850544,-19.634952,-1
-8.2579472,-18.6821536,-1
-8.9678928,-15.233452799999998,-1
-3.7709987999999997,-22.167375999999997,-1
-7.9186448,-21.260139199999998,-1
-7.581315999999999,-18.5184368,-1
-8.849383999999999,-22.9336192,-1
-4.6291687999999995,-23.392758399999998,-1
-3.8406027999999997,-19.4917408,-1
-5.1817519999999995,-16.8287024,-1
-7.153563999999999,-18.4802704,-1
-3.1791312,-21.4858816,-1
-7.971748,-17.973736,-1
-5.8451388,-21.240776,-1
-7.3737824,-20.9325424,-1
-4.9990768,-17.0994256,-1
-9.0227336,-18.3977856,-1
-5.9698296,-21.9225392,-1
-5.8242248,-20.3870512,-1
-7.845756799999999,-18.0329776,-1
-4.6177464,-18.0675776,-1
-7.1715088,-18.637072,-1
-8.3302608,-17.5602288,-1
-5.965569599999999,-17.614974399999998,-1
-5.8584043999999995,-18.926496,-1
-8.780268,-17.954926399999998,-1
-4.8751152,-13.695545599999999,-1
-7.5068984,-18.0870096,-1
-7.7287216,-15.419121599999999,-1
-8.1488824,-17.2167136,-1
-5.2286092,-19.0144032,-1
-7.7532872,-21.1325152,-1
-7.88286,-23.271980799999998,-1
-4.8522868,-18.948664,-1
-5.9910944,-20.3831296,-1
-8.1909472,-20.927504,-1
-6.1792324,-20.404224,-1
-6.7378648,-17.795568,-1
-8.7247296,-22.600896,-1
-5.3047596,-17.6158608,-1
-7.3017192,-17.451950399999998,-1
-7.813184,-24.4193104,-1
-8.1669936,-20.8047392,-1
-6.374393599999999,-21.753608,-1
-9.5737784,-18.202248,-1
-8.1534912,-18.895995199999998,-1
-5.474371199999999,-20.2570032,-1
-12.013024,-18.3796736,-1
-7.0432384,-15.432694399999999,-1
-7.4460256,-20.0968192,-1
-8.8215184,-17.680016,-1
-7.8855135999999995,-18.6799456,-1
-6.735831999999999,-19.305872,-1
-7.471883999999999,-17.1737408,-1
-9.656517599999999,-16.932851199999998,-1
-4.721896,-20.899231999999998,-1
-7.3977496,-17.2689536,-1
-4.216667999999999,-20.358808,-1
-6.934684799999999,-19.8638576,-1
-5.962256399999999,-18.335504,-1
-7.5137912,-19.048752,-1
-5.6373332,-21.9542432,-1
-7.7940856,-19.847944,-1
-6.7827632,-20.0742624,-1
-4.75969,-21.6588832,-1
-7.6725872,-23.581014399999997,-1
-8.2512264,-17.868016,-1
-8.816349599999999,-19.101563199999998,-1
-6.8653688,-20.268779199999997,-1
-4.3592059999999995,-15.6359072,-1
-4.799084,-16.817871999999998,-1
-8.8787728,-16.5618128,-1
-4.3413824,-19.2116336,-1
-3.8508936,-18.2295888,-1
-7.7792319999999995,-19.380563199999997,-1
-7.171796,-17.8692816,-1
-5.084178,-17.654232,-1
-6.1404492,-18.9251856,-1
-7.8140288,-16.0658912,-1
-6.0783876,-16.5827456,-1
-4.355784,-20.113854399999997,-1
-5.972518,-17.5982672,-1
-6.0837864,-15.200820799999999,-1
-6.908921599999999,-16.1970448,-1
-8.5722592,-18.140696,-1
-5.700533999999999,-19.569831999999998,-1
-7.9563704,-23.5122912,-1
-9.139579999999999,-19.284606399999998,-1
-6.0922336,-20.129340799999998,-1
-6.9397823999999995,-19.8411696,-1
-6.1240008,-19.9373728,-1
-4.8973656,-22.014736,-1
-5.7978872,-18.4629072,-1
-8.38456,-18.63452,-1
-8.03632,-16.9171936,-1
-5.060288,-18.9779744,-1
-6.0914535999999995,-18.3254256,-1
-7.6520415999999996,-21.809815999999998,-1
-9.1896784,-16.416816,-1
-6.776527199999999,-21.1464928,-1
-6.6643216,-16.1888224,-1
-6.84404,-19.8304896,-1
-5.9077556,-19.229392,-1
-8.923184,-22.012847999999998,-1
-7.0065376,-21.427635199999997,-1
-5.2436964,-16.8424592,-1
-5.7353971999999995,-20.271608,-1
-4.935502,-18.171489599999997,-1
-7.025659999999999,-18.333296,-1
-8.1973264,-19.1182448,-1
-5.81236,-19.567968,-1
-6.487766,-17.3153456,-1
-8.2027504,-16.4905696,-1
-6.583354,-18.4027584,-1
-6.083048799999999,-19.080807999999998,-1
-7.198408799999999,-18.5621856,-1
-7.7131856,-14.211368,-1
-5.769785199999999,-17.9090336,-1
-7.4160752,-22.4138064,-1
-6.897424,-20.0531152,-1
-2.4033303999999998,-19.8208976,-1
-7.3609816,-18.7739792,-1
-9.2065024,-19.407372799999997,-1
-6.5652728,-20.5433712,-1
-4.391444,-21.301008,-1
-7.9110824,-19.1494592,-1
-3.5384952,-20.8073888,-1
-8.8427856,-19.5531872,-1
-4.541366,-17.699392,-1
-7.938019199999999,-19.146272,-1
-5.263520799999999,-16.5574656,-1
-8.5853688,-21.857830399999997,-1
-5.805216,-15.1178096,-1
-6.7994448,-15.771951999999999,-1
-4.6175764,-16.07656,-1
-8.941288799999999,-18.227999999999998,-1
-9.3788352,-16.923243199999998,-1
-6.2875552,-22.4785152,-1
-3.6392012,-20.961460799999998,-1
-4.400168,-20.5658976,-1
-8.682176,-21.115729599999998,-1
-7.0259016,-22.779695999999998,-1
-5.6553888,-22.5321472,-1
-3.341586,-19.4776864,-1
-7.6094952,-21.3325232,-1
-1.2039619,-19.886983999999998,-1
-10.332811999999999,-19.9614464,-1
-6.2155664,-21.1399792,-1
-5.857596,-20.884945599999998,-1
-3.7517052,-19.682024,-1
-6.7960536,-20.1136592,-1
-5.7215612,-20.2540944,-1
-3.5210692,-22.1942912,-1
-7.9847784,-17.2149776,-1
-2.3463852,-21.84524,-1
-4.0206072,-18.0958208,-1
-5.853682,-17.1918144,-1
-2.4641392,-18.550272,-1
-3.9804936,-18.7244784,-1
-6.6633736,-21.8455872,-1
-7.378266399999999,-19.8324064,-1
-7.9960624,-21.57348,-1
-4.1550807999999995,-19.817902399999998,-1
-8.2274392,-18.761751999999998,-1
-7.575558399999999,-21.0319264,-1
-7.253632,-22.6814416,-1
-5.769652799999999,-21.023459199999998,-1
-5.458132,-16.1468704,-1
-9.6242208,-22.873624,-1
-6.9418656,-17.0872272,-1
-7.4545768,-18.6181312,-1
-4.9223512,-17.0347696,-1
-6.7919263999999995,-17.865747199999998,-1
-4.0897812,-19.0074288,-1
-5.3209304,-20.107641599999997,-1
-4.3545824,-18.238289599999998,-1
-5.9252232,-17.8671872,-1
-6.6069852,-17.0865008,-1
-5.2125775999999995,-18.655144,-1
-8.7437608,-15.3030464,-1
-5.3973936,-20.9368128,-1
-8.543611199999999,-19.609132799999998,-1
-6.272311999999999,-17.78864,-1
-9.0879624,-20.0092592,-1
-7.539196,-19.4559616,-1
-6.3835792,-16.2354544,-1
-4.3046652,-19.64444,-1
-4.4453556,-19.704448,-1
-7.869952,-22.7005728,-1
-4.5237096,-18.1678784,-1
-8.17856,-22.827479999999998,-1
-6.8160184,-20.335127999999997,-1
-6.667029599999999,-21.5475072,-1
-4.3981128,-21.875695999999998,-1
-3.2712274,-21.2700368,-1
-4.280964,-17.481208,-1
-7.234765599999999,-18.4672016,-1
-5.0065668,-19.508464,-1
-4.7109264,-17.867136,-1
-8.485968,-19.7541488,-1
-9.4352792,-17.2182064,-1
-8.1534864,-19.232903999999998,-1
-6.3093372,-20.6681712,-1
-6.5549256,-20.4230256,-1
-8.0051056,-22.5272064,-1
-3.8521587999999998,-17.7832304,-1
-4.395703999999999,-19.2398304,-1
-6.594396,-21.1697104,-1
-5.1831344,-19.061702399999998,-1
-6.308952,-22.473369599999998,-1
-5.3628848,-20.721096,-1
-7.4503824,-20.4853584,-1
-5.94308,-19.3172064,-1
-3.4760948,-20.329952,-1
-4.6981763999999995,-22.6210816,-1
-9.2493984,-18.854672,-1
-6.121163999999999,-20.6184864,-1
-4.945024,-18.9494176,-1
-7.3838288,-17.468884799999998,-1
-5.4328316,-19.622811199999997,-1
-2.8029287999999997,-19.7647632,-1
-6.018222,-16.828903999999998,-1
-6.3336444,-18.3800432,-1
-9.3888456,-19.857836799999998,-1
-5.544524399999999,-20.5741504,-1
-3.3153691999999997,-19.3919776,-1
-8.037996,-17.6934368,-1
-7.1190976,-19.3366224,-1
-7.492436799999999,-20.2336272,-1
-4.5317956,-22.345065599999998,-1
-4.745267999999999,-21.7487232,-1
-4.7853764,-17.863715199999998,-1
-4.573256,-17.4800528,-1
-5.816496,-19.7840128,-1
-9.846916799999999,-22.2755056,-1
-8.076234399999999,-20.1462064,-1
-8.4944096,-21.444556799999997,-1
-7.803213599999999,-19.2008816,-1
-6.4831199999999995,-16.8208096,-1
-9.6191216,-20.085249599999997,-1
-4.0363472,-20.0007104,-1
-6.2182116,-20.63104,-1
-8.476664,-20.061328,-1
-6.7444256,-19.6572256,-1
-6.1359395999999995,-18.193566399999998,-1
-2.4389258,-17.108055999999998,-1
-5.9793712,-18.14012,-1
-6.5866587999999995,-19.598545599999998,-1
-9.2923584,-21.0439392,-1
-6.4407,-17.8494592,-1
-8.427573599999999,-20.2598128,-1
-8.0061328,-19.091164799999998,-1
-3.468416,-18.508712,-1
-5.241671999999999,-18.533523199999998,-1
-5.618343599999999,-18.5924016,-1
-4.5792627999999995,-20.4619312,-1
-6.1123031999999995,-19.811495999999998,-1
-7.1735912,-18.3292464,-1
-3.4942056,-16.803528,-1
-4.3256664,-20.6663776,-1
-8.09036,-17.7997792,-1
-8.0883072,-17.4674704,-1
-8.3376136,-19.4172704,-1
-7.5985976,-18.638223999999997,-1
-7.998558399999999,-21.00092,-1
-4.620598,-20.142422399999997,-1
-5.2178819999999995,-17.992347199999998,-1
-7.7168079999999994,-22.1185696,-1
-6.119864799999999,-20.3743616,-1
-6.2097852,-19.0644176,-1
-7.2566824,-17.9244384,-1
-5.909921199999999,-15.203999999999999,-1
-5.9368216,-18.8275744,-1
-5.958908,-16.257358399999998,-1
-3.7189463999999997,-16.6988576,-1
-5.041392,-16.303718399999998,-1
-9.5429392,-17.0968448,-1
-6.487334,-20.830704,-1
-7.2787048,-20.243904,-1
-6.4242576,-18.667503999999997,-1
-7.4850368,-20.3598304,-1
-7.6243039999999995,-19.4193152,-1
-5.919293199999999,-18.095727999999998,-1
-3.6198796,-17.8372736,-1
-6.4205536,-17.3223472,-1
-6.3175672,-18.137409599999998,-1
-4.3979192,-20.052020799999998,-1
-2.7039519999999997,-18.3396384,-1
-5.2988192,-18.0141504,-1
-9.3195768,-16.0121856,-1
-7.1609136,-21.975827199999998,-1
-7.936429599999999,-22.5697232,-1
-5.2986992,-17.6612544,-1
-7.428625599999999,-19.3265136,-1
-8.3747376,-17.357393599999998,-1
-5.2188076,-20.6401072,-1
-6.339033199999999,-19.998140799999998,-1
-4.7543256,-19.3054512,-1
-6.5278472,-19.02288,-1
-7.8493536,-15.7911328,-1
-6.2432536,-20.3573536,-1
-7.485951999999999,-22.492390399999998,-1
-10.544291999999999,-18.4719872,-1
-7.2590144,-16.5894784,-1
-7.4484856,-19.5101472,-1
-3.3874755999999997,-17.4962592,-1
-4.965008,-21.6521056,-1
-9.7973656,-19.4603088,-1
-4.5782096,-17.9475104,-1
-8.5123208,-17.7761088,-1
-4.508332,-19.060838399999998,-1
-5.4211784,-21.296769599999998,-1
-7.400459199999999,-21.331056,-1
-5.0486672,-16.0983248,-1
-7.233867999999999,-19.2342768,-1
-6.2079248,-20.4443248,-1
-6.4530432,-21.8942432,-1
-6.310366,-21.1521328,-1
-5.3070395999999995,-18.1140176,-1
-5.003050399999999,-20.7723984,-1
-5.198328,-21.3006608,-1
-6.055221599999999,-19.816436799999998,-1
-7.4394903999999995,-19.7439392,-1
-10.4510264,-21.1906592,-1
-8.1928888,-20.514632,-1
-5.606654,-18.7362,-1
-6.400599199999999,-20.53204,-1
-7.0843376,-18.5797168,-1
-5.349232,-17.542692799999998,-1
-8.3724432,-18.7280592,-1
-7.0665287999999995,-21.807851199999998,-1
-11.995257599999999,-20.314611199999998,-1
-8.8882336,-16.816952,-1
-4.8546448,-19.2359072,-1
-6.7633752,-19.4758352,-1
-5.712644,-18.716592,-1
-6.9446959999999995,-20.1940192,-1
-10.3968496,-21.4325312,-1
-9.1717856,-17.5754992,-1
-5.8245264,-21.982739199999997,-1
-6.093716,-16.89004,-1
-6.3355592,-18.1845584,-1
-5.0437284,-17.9230752,-1
-6.267279599999999,-21.6256384,-1
-8.576736799999999,-21.1569024,-1
-6.714792,-21.6276416,-1
-6.218575599999999,-21.4079232,-1
-4.713944,-20.8024144,-1
-4.7064471999999995,-23.3408256,-1
-9.3028224,-18.1625648,-1
-4.950526,-22.477144,-1
-9.862928,-20.1136128,-1
-5.304009199999999,-20.0758704,-1
-7.0320336,-21.8776768,-1
-7.481287999999999,-17.7958848,-1
-6.132893999999999,-20.6087216,-1
-4.498473199999999,-16.075836799999998,-1
-7.5718248,-21.9337904,-1
-4.9436431999999995,-17.207268799999998,-1
-8.1972664,-17.6064912,-1
-9.094567999999999,-19.4622352,-1
-6.832601599999999,-16.7744224,-1
-9.525228,-18.2681264,-1
-7.5304671999999995,-18.1800016,-1
-5.354684799999999,-18.3877408,-1
